"","selectivity","diff","object_assignment"
"1",0.213782377918209,0.0195549896886968,"bedbench"
"2",-0.24487541828251,-0.0704905177284787,"chairbed"
"3",0.0264242864088588,0.0134659936267445,"tablebed"
"4",0.533823807646195,-0.140920329813041,"benchchair"
"5",0.120251804379241,-0.0177900682662698,"benchtable"
"6",0.818019846020309,-0.0280087703276257,"tablechair"
"7",0.698265187318523,-0.0225985289201517,"chairbed"
"8",1.43940415152745,-0.0411075308771509,"benchchair"
"9",0.446440019869393,0.0730808890836679,"benchtable"
"10",0.656711437445855,-0.0456908250769597,"tablechair"
"11",1.77818723982411,0.0979573682130385,"tablechair"
"12",0.0571959901353242,-0.0312210883937595,"bedbench"
"13",0.553443819390052,0.00294125528738742,"chairbed"
"14",-0.071848698273888,-0.0391387232666473,"tablebed"
"15",0.421277085564554,-0.10647449227016,"benchchair"
"16",-0.139988538015172,-0.0194031393667218,"benchtable"
"17",1.64722227648143,0.0435405498815354,"tablechair"
"18",0.245039427656249,-0.356562670891697,"bedbench"
"19",0.112089056724385,0.0081548969556261,"tablebed"
"20",1.43423523159522,0.0652158929411161,"benchtable"
"21",0.796212754675816,-0.021381421915516,"tablechair"
"22",1.16057067213444,0.0171393510037451,"benchchair"
"23",1.00498274441237,0.0121350483494826,"chairbed"
"24",-0.0106410177042562,-0.188949065012929,"tablebed"
"25",0.190678963582888,-0.00102292164652462,"benchchair"
"26",0.560399896112488,-0.191659161630946,"chairbed"
"27",0.788580963819987,0.178774472919271,"tablechair"
"28",-0.121651747942801,-0.0352508786441442,"bedbench"
"29",0.655952089574434,0.10193624360233,"chairbed"
"30",0.563140325101616,-0.143813366262178,"tablebed"
"31",0.351243157131211,0.0353111841805172,"benchtable"
